curso_titulo;modulo_titulo;modulo_ordem;aula_titulo;aula_video_url;aula_descricao;aula_duracao;aula_ordem
Afiliados Instituto Behn;Código de Conduta;1;Código de ética e conduta;;;;1
Afiliados Instituto Behn;Aulas Iniciais;2;Boas vindas;https://vimeo.com/manage/videos/1152258529;;;1
Afiliados Instituto Behn;Aulas Iniciais;2;O que o cliente espera de uma sessão de hipnoterapia;https://vimeo.com/manage/videos/1152258738;;;2
Afiliados Instituto Behn;Aulas Iniciais;2;Pré Talk, Rapport e Yes Set;https://vimeo.com/manage/videos/1152258454;;;3
Afiliados Instituto Behn;Aulas Iniciais;2;A importância da anamnese;https://vimeo.com/manage/videos/1152258660;;;4
Afiliados Instituto Behn;Aulas Iniciais;2;O que muda quando atendo crianças e adolescentes;https://vimeo.com/manage/videos/1152258556;;;5
Afiliados Instituto Behn;Aulas Iniciais;2;O que muda se o atendimento for online?;https://vimeo.com/manage/videos/1152258694;;;6
Afiliados Instituto Behn;Aulas Iniciais;2;Metáforas;https://vimeo.com/manage/videos/1152258862;;;7
Afiliados Instituto Behn;Aulas Iniciais;2;Voz Hipnótica;https://vimeo.com/manage/videos/1152259001;;;8
Afiliados Instituto Behn;Aulas Iniciais;2;E se a indução falhar?;https://vimeo.com/manage/videos/1152258600;;;9
Afiliados Instituto Behn;Aulas Iniciais;2;Regressão;https://vimeo.com/manage/videos/1152258905;;;10
Afiliados Instituto Behn;Aulas Iniciais;2;Submodalidade visual;https://vimeo.com/manage/videos/1152258968;;;11
Afiliados Instituto Behn;Aulas Iniciais;2;Quebrando Hábitos;https://vimeo.com/manage/videos/1152258941;;;12
Afiliados Instituto Behn;Aulas Iniciais;2;Transtorno de ansiedade;https://vimeo.com/manage/videos/1152258774;;;13
Afiliados Instituto Behn;Aulas Iniciais;2;Quando Provocar crise e utilizar HNV;https://vimeo.com/manage/videos/1152258828;;;14
Afiliados Instituto Behn;Protocolo;3;Introdução;https://vimeo.com/manage/videos/1152259043;;;1
Afiliados Instituto Behn;Protocolo;3;Iniciando o atendimento;https://vimeo.com/manage/videos/1152259080;;;2
Afiliados Instituto Behn;Protocolo;3;Estabelecendo o rapport;https://vimeo.com/manage/videos/1152259108;;;3
Afiliados Instituto Behn;Protocolo;3;Anamnese;https://vimeo.com/manage/videos/1152259136;;;4
Afiliados Instituto Behn;Protocolo;3;Pré Talk e tira dúvidas;https://vimeo.com/manage/videos/1152259153;;;5
Afiliados Instituto Behn;Protocolo;3;Indução - qual a melhor?;https://vimeo.com/manage/videos/1152259184;;;6
Afiliados Instituto Behn;Protocolo;3;Aprofundamento e validação do transe;https://vimeo.com/manage/videos/1152259235;;;7
Afiliados Instituto Behn;Protocolo;3;Qual técnica utilizar?;https://vimeo.com/manage/videos/1152259277;;;8
Afiliados Instituto Behn;Protocolo;3;Fisiologia, crenças e causas;https://vimeo.com/manage/videos/1152259348;;;9
Afiliados Instituto Behn;Protocolo;3;Roteiro Metafórico;https://vimeo.com/manage/videos/1152259395;;;10
Afiliados Instituto Behn;Protocolo;3;Despertar e sugestão pós hipnótica;https://vimeo.com/manage/videos/1152259423;;;11
Afiliados Instituto Behn;Protocolo;3;Validando o resultado;https://vimeo.com/manage/videos/1152259467;;;12
Afiliados Instituto Behn;Protocolo;3;Quantas sessões são necessárias;https://vimeo.com/manage/videos/1152259501;;;13
Afiliados Instituto Behn;Protocolo;3;Encerrando o protocolo;https://vimeo.com/manage/videos/1152259529;;;14
Afiliados Instituto Behn;Protocolo;3;Kit fechamento de sessão;;;;15
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Magnetismo Sexual;https://vimeo.com/manage/videos/1152266888;;;1
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Padrões de Linguagem e Metáfora;https://vimeo.com/manage/videos/1152260331/edee11ed9f;;;2
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Sistemas Representacionais: Valores;https://vimeo.com/manage/videos/1152260572/8b32caba9d;;;3
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Sistemas Representacionais: Crenças;https://vimeo.com/manage/videos/1152260710/95ff112c05;;;4
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Sistemas Representacionais: Crença - parte 2;https://vimeo.com/manage/videos/1152260790/0910747b29;;;5
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Âncoras - parte 1;https://vimeo.com/manage/videos/1152260881/d70d2d4f92;;;6
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Âncora - parte 2;https://vimeo.com/manage/videos/1152260969/815680adb1;;;7
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Âncora - parte 3;https://vimeo.com/manage/videos/1152261045/055dc3bb3d;;;8
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Anamnese Avançada;https://vimeo.com/manage/videos/1152261169/6eeb871e82;;;9
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;O que fazer quando não sabe o que fazer?;https://vimeo.com/manage/videos/1152261229/f6534d8107;;;10
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Introdução com Hipnose Ericksoniana;https://vimeo.com/manage/videos/1152261328/c8ba5e5ab8;;;11
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Atendimento online - técnica do espelho;https://vimeo.com/manage/videos/1152261418/284f77eb0c;;;12
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Submodalidade;https://vimeo.com/manage/videos/1152261577/9188d62f0d;;;13
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Emagrecimento parte 1;https://vimeo.com/manage/videos/1152261648/4ae4d6bba6;;;14
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Emagrecimento parte 2;https://vimeo.com/manage/videos/1152261720/94db3741a9;;;15
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Emagrecimento parte 3;https://vimeo.com/manage/videos/1152261804/afe1b30438;;;16
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Magnetismo Sexual - exercícios práticos;https://vimeo.com/manage/videos/1152261878/9557b21795;;;17
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Emagrecimento parte 4;https://vimeo.com/manage/videos/1152262006/ad7918b864;;;18
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Emagrecimento parte 5 (balão gástrico);https://vimeo.com/manage/videos/1152262099/a97663c49a;;;19
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Vícios - parte 1;https://vimeo.com/manage/videos/1152262231/d6b715d7fb;;;20
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Vícios - parte 2;https://vimeo.com/manage/videos/1152262273/152fa5c237;;;21
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Vícios - parte 3;https://vimeo.com/manage/videos/1152262306/e8c698e142;;;22
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Autohipnose - parte 1;https://vimeo.com/manage/videos/1152262334/80f6b52637;;;23
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Autohipnose - parte 2;https://vimeo.com/manage/videos/1152262434/5d2344c9ff;;;24
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Traumas;https://vimeo.com/manage/videos/1152262575/fc6a5f134b;;;25
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;TSTP e insônia;https://vimeo.com/manage/videos/1152262641/68fd1d129d;;;26
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Ansiedade e suas vertentes;https://vimeo.com/manage/videos/1152262704/a5e2e6c3a2;;;27
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Transtorno de Ansiedade - parte 2;https://vimeo.com/manage/videos/1152262776/d2f29fea1e;;;28
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Hipnose Não Verbal - parte 1;https://vimeo.com/manage/videos/1152262868/e9150a0c44;;;29
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Hipnose Não Verbal - parte 2;https://vimeo.com/manage/videos/1152262990/e0b0241eae;;;30
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Hipnose Não Verbal - parte 3;https://vimeo.com/manage/videos/1152263092/b4af9d08dc;;;31
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Hipnose Não Verbal - parte 4;https://vimeo.com/manage/videos/1152263287/6676ffad0b;;;32
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Hipnose Não Verbal - parte 5;https://vimeo.com/manage/videos/1152263450/1c16d1bb29;;;33
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Hipnose Não Verbal - parte 6;https://vimeo.com/manage/videos/1152263622/8845581e66;;;34
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Hipnose Não Verbal - parte 7;https://vimeo.com/manage/videos/1152263724/0e7ab16457;;;35
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Hipnose Não Verbal - parte 8;https://vimeo.com/manage/videos/1152263851;;;36
Afiliados Instituto Behn;Aulas ao vivo com Marcelo Behn;4;Hipnose Não Verbal - parte 9;https://vimeo.com/manage/videos/1152264064;;;37
Afiliados Instituto Behn;Mentorias ao vivo;5;MENTORIA 01;https://vimeo.com/manage/videos/1152264206/bd258c0304;;;1
Afiliados Instituto Behn;Mentorias ao vivo;5;MENTORIA 02;https://vimeo.com/manage/videos/1152264268/3740121ff6;;;2
Afiliados Instituto Behn;Mentorias ao vivo;5;MENTORIA 03 - ANAMNESE;https://vimeo.com/manage/videos/1152264371;;;3
Afiliados Instituto Behn;Mentorias ao vivo;5;MENTORIA 04;https://vimeo.com/manage/videos/1152264484;;;4
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 05;https://vimeo.com/manage/videos/1152264607;;;5
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 06;https://vimeo.com/manage/videos/1152264758;;;6
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 07;https://vimeo.com/manage/videos/1152264981;;;7
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 08;https://vimeo.com/manage/videos/1152265093;;;8
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 09;https://vimeo.com/manage/videos/1152265205;;;9
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 10;https://vimeo.com/manage/videos/1152265385;;;10
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 11;https://vimeo.com/manage/videos/1152265435;;;11
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria Especial HNV;https://vimeo.com/manage/videos/1152265603;;;12
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 12;https://vimeo.com/manage/videos/1152265734;;;13
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 13;https://vimeo.com/manage/videos/1152265855;;;14
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 14;https://vimeo.com/manage/videos/1152265993;;;15
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 15;https://vimeo.com/manage/videos/1152266131;;;16
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 16;https://vimeo.com/manage/videos/1152266304;;;17
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 17;https://vimeo.com/manage/videos/1152266442;;;18
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 18;https://vimeo.com/manage/videos/1152266514;;;19
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 19;https://vimeo.com/manage/videos/1152266596;;;20
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 20;https://vimeo.com/manage/videos/1152266660;;;21
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 21;https://vimeo.com/manage/videos/1152266764;;;22
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 22;https://vimeo.com/manage/videos/1158920756;;;23
Afiliados Instituto Behn;Mentorias ao vivo;5;Mentoria 23;https://vimeo.com/manage/videos/1158925741;;;24
